
[Expand/Collapse all sections]Expand all

People with disability content

  -------------- ----------------------------------------------------------------------------------------------------------------------------------------------
  File Name      Title
  008-01000000   Initial contact and identification of services for people with a disability
  008-01010000   Initial contact by a customer who is ill, injured or has a disability
  008-01030000   Providing services to customers with disabilities
  008-01030100   Alternative letter formats for customers with a disability or medical condition affecting their vision
  008-01040000   Essential Medical Equipment Payment (EMEP)
  008-01040010   Claiming Essential Medical Equipment Payment (EMEP)
  008-01040020   Eligibility for Essential Medical Equipment Payment (EMEP)
  008-01040030   Processing Essential Medical Equipment Payment (EMEP) claims
  008-01040040   Change of circumstances for Essential Medical Equipment Payment (EMEP)
  008-01040050   Proof of energy reviews for Essential Medical Equipment Payment (EMEP)
  008-01040060   Cancellation and rejection codes for Essential Medical Equipment Payment (EMEP)
  008-01040070   Handling claims for Essential Medical Equipment Payment (EMEP) received at Medicare service centres
  008-02000000   Employment services for people with disabilities
  008-02010000   Australian Disability Enterprises (ADE) referrals
  008-02020000   Vocational Education and Training (VET) and employment assistance services for people with disabilities
  008-02030000   Business Service Wage Assessment Tool (BSWAT) payments
  008-02080000   JobSeeker Payment (JSP) and Youth Allowance (YA) (Provisional)
  008-03000000   Disability Support Pension (DSP)
  008-03010010   Claiming Disability Support Pension (DSP)
  008-03010040   Transferring to Disability Support Pension (DSP) (Blind)
  008-03010060   Disability cluster screens
  008-03010100   Streaming a new claim for Disability Support Pension (DSP)
  008-03030000   Assessing Disability Support Pension (DSP) claims
  008-03030010   What is medical evidence for Disability Support Pension (DSP)?
  008-03030020   Diagnosis of a medical condition provided by an Assessment Services Psychologist for Disability Support Pension (DSP)
  008-03030050   Assessing a new claim for Disability Support Pension (DSP) after a Job Capacity Assessment (JCA)
  008-03030090   Disability Medical Assessment (DMA) referrals
  008-03030130   Assessing eligibility for Disability Support Pension (DSP) after a Disability Medical Assessment (DMA)
  008-03030140   Disability Support Pension (DSP) manifest eligibility
  008-03030150   Rejecting a new claim for Disability Support Pension (DSP) including manifest rejections
  008-03030200   Locating and actioning Disability Medical Assessment (DMA) work items in the Workload Management System (WMS)
  008-03040010   Assessing Continuing Inability to Work (CITW)
  008-03040030   Assessing permanent blindness
  008-03040050   The Impairment Tables
  008-03050000   Eligibility for Disability Support Pension (DSP)
  008-03050010   Residence assessment for customers claiming Disability Support Pension (DSP)
  008-03060000   Payability of Disability Support Pension (DSP) for customers who are in psychiatric confinement for a criminal offence
  008-03070000   Rates of Disability Support Pension (DSP)
  008-03070030   Youth Disability Supplement (YDS)
  008-03090000   Participation requirements for Disability Support Pension (DSP) customers under 35 years of age
  008-03090010   Program of Support (POS) requirements for Disability Support Pension (DSP)
  008-03090020   Identifying barriers to participation for Disability Support Pension (DSP)
  008-03090030   Identifying Disability Support Pension (DSP) customers with participation requirements
  008-03090040   Conducting interviews for Disability Support Pension (DSP) customers with participation requirements
  008-03090060   Disability Support Pension (DSP) Participation Plan
  008-03090070   Disability Support Pension (DSP) customer fails to attend an interview
  008-03090080   Disability Support Pension (DSP) customer fails to reply to correspondence
  008-03090090   Compulsory work focused activities for Disability Support Pension (DSP) customers with participation requirements
  008-03090100   Disability Support Pension (DSP) participation requirements compliance model
  008-03100000   Notification and attendance requirements for Disability Support Pension (DSP) customers
  008-03100010   Commencing or returning to work or self-employment Disability Support Pension (DSP)
  008-03100020   Customer ceases or reduces work in the 2 year suspension period for Disability Support Pension (DSP)
  008-03120000   Disability Support Pension (DSP) customer going overseas
  008-03120010   Disability Support Pension (DSP) severely disabled assessments for International Agreements
  008-03120020   Disability Support Pension (DSP) overseas absence for terminally ill customers
  008-03120040   Assessment for Disability Support Pension (DSP) customers going overseas under the no future work capacity provisions
  008-03130000   Disability Support Pension (DSP) cancellations, suspensions and restorations
  008-03130010   Suspension of Disability Support Pension (DSP)
  008-03130020   Restoration of Disability Support Pension (DSP)
  008-03130030   Cancellation of Disability Support Pension (DSP)
  008-03130040   Cancellation, suspension and rejection codes for Disability Support Pension (DSP)
  008-03130050   Manual intervention for automatic suspension and cancellation of vulnerable and at risk customers
  008-03140000   Assessing payment rates and independence for Disability Support Pension customers under 21 years
  008-03150000   Progress of claim - Disability Support Pension (DSP)
  008-03160010   The Health Professional Advisory Unit (HPAU)
  008-03170000   Disability payments and services which may no longer be granted
  008-03180010   Job Capacity Assessment (JCA) referral
  008-03190000   Reviews and appeals for Disability Support Pension (DSP) rejection or cancellation decisions
  008-03200000   Disability Medical Assessment (DMA) Overview
  008-04000000   Sickness Allowance (SA)
  008-04030000   Disability employment assistance services and programs
  008-04030020   Eligibility criteria for participation with Disability Employment Services (DES)
  008-04030030   Allowable breaks from Disability Employment Services (DES)
  008-04030040   Disability wage subsidies
  008-04030050   Employment Assistance Fund
  008-04030060   Disabled Australian Apprenticeship Wage Support
  008-04030070   Work Assist
  008-04030080   Supported Wage System (SWS)
  008-04030100   Reviews of Disability Employment Services (DES) participation
  008-04030110   Referring a job seeker to Disability Employment Services (DES)
  008-04090040   Cancellation, suspension and rejection codes for Sickness Allowance (SA)
  008-05000000   Mobility Allowance (MOB)
  008-05010000   Claiming Mobility Allowance (MOB)
  008-05010010   Accepting paper Mobility Allowance (MOB) claims, reviews and claims for MOB Advance Payment
  008-05010030   Online Claim for Mobility Allowance
  008-05020000   Assessing Mobility Allowance (MOB) claims
  008-05020010   Assessing medical evidence for Mobility Allowance (MOB)
  008-05020030   Rejecting a Mobility Allowance (MOB) claim
  008-05030000   Eligibility for Mobility Allowance (MOB)
  008-05030010   Residence assessment for customers claiming Mobility Allowance (MOB)
  008-05040000   Rates for Mobility Allowance (MOB)
  008-05040020   Lump sum advance payments of Mobility Allowance (MOB)
  008-05050000   Change of circumstances for Mobility Allowance (MOB) customers
  008-05060000   Mobility Allowance (MOB) customer going overseas
  008-05060050   JobSeeker Payment (JSP)/Youth Allowance (YA) (Incapacitated) advices
  008-05070000   Mobility Allowance (MOB) cancellations, suspensions and restorations
  008-05070010   Suspension of Mobility Allowance (MOB)
  008-05070020   Restoration of Mobility Allowance (MOB)
  008-05070030   Cancellation and Period of Grace for Mobility Allowance (MOB)
  008-05070040   Cancellation, suspension and rejection codes for Mobility Allowance (MOB) including Period of Grace reasons
  008-06000000   Assessment Services
  008-06030040   Referring a Disability Support Pension (DSP) customer volunteering for employment assistance for an Employment Services Assessment (ESAt)
  008-06030090   Supported Wage System (SWS) medical assessment process
  008-06030150   Actioning automatic activities of a current Job Capacity Assessment (JCA) referral
  008-06040090   Quality Assurance for Job Capacity Assessment (JCA) reports
  008-06070000   Job Capacity Assessment (JCA) reports
  008-06070010   Checking and actioning a Job Capacity Assessment (JCA) report
  008-06070020   Overriding Medical Conditions and Work Capacity recommendations in a Job Capacity Assessment (JCA) report
  008-06070030   Understanding Job Capacity Assessment (JCA) reports
  008-06070050   Using a Job Capacity Assessment (JCA) report to determine payment type
  008-06070070   Assessing a job seeker's mutual obligation requirements based on Employment Services Assessment (ESAt)/Job Capacity Assessment (JCA) reports
  008-06070080   Release of Disability Support Pension (DSP) Medical Assessment reports
  008-06070090   Request to finalise an Employment Services Assessment (ESAt) or Job Capacity Assessment (JCA) report to create a new JCA referral
  008-06070110   Inconsistencies in a Job Capacity Assessment (JCA) report
  008-06100000   Actioning Assessment Services Referrals
  008-06100010   Job Capacity Assessment (JCA) and Employment Services Assessment (ESAt) appointments
  008-06110000   Job Capacity Assessments (JCA)
  008-06120000   Employment Services Assessments (ESAt)
  008-07030000   Medical conditions, codes and terminology
  008-07060000   Storage and access to information for carers and disability claimants and recipients
  008-09020000   Disability Support Pension (DSP) letters and advices
  008-09020020   The Medicare levy exemption or reduction letter
  008-09050030   Verification of Mobility Allowance (MOB) activities
  008-09050050   Centrelink Medical Certificate (SU415 or SU683)
  008-09050060   Age/Disability Support Pension on the basis of blindness: Request for Ophthalmologist/Optometrist Report (SA013)
  008-10030000   Mobility Allowance (MOB) reviews
  008-10030010   Mobility Allowance (MOB) Medical Reviews
  008-10030020   Mobility Allowance (MOB) Employment/Training Reviews
  008-10050000   Medical reviews for Disability Support Pension (DSP) customers under 35 years of age
  008-10060000   Medical Risk Based reviews of current Disability Support Pension (DSP) customers
  008-11000000   JobSeeker Payment (JSP) and Youth Allowance (YA) Incapacitated and Provisional
  008-17041200   Disability Medical Assessment (DMA) appointment outcome
  008-18012400   Selective Application of Data (SAD)
  008-18052200   Customers with disabilities or medical conditions
  008-20013032   Disability Support Pension (DSP) Service Offer Interview (SOI)
  008-20050744   Prioritising Disability Support Pension (DSP) claims for terminally ill customers
  008-20102224   Medical Assessment Team (MAT)
  008-21080215   Processing claims for Mobility Allowance (MOB) in Process Direct
  008-22112100   Customer consent to submit earnings via Employer Reporting service
  008-22112147   Supporting the Employer Reporting service for Australian Disability Enterprises
